bucket,n_PULs,accuracy,mean_OOV_pct
0%,920,0.9141304347826087,0.0
0–5%,20,1.0,3.381255101292631
5–10%,33,1.0,6.8419225713531
10–25%,39,0.6410256410256411,15.103833224327845
≥25%,18,0.6111111111111112,35.00966625966626
