method,accuracy,ece_10bin,T
uncalibrated,0.9058252427184466,0.0641688553164306,—
temperature_scaling,0.9058252427184466,0.0369210368510588,0.845887869356152
isotonic_cv5 (sklearn),0.9029126213592232,0.0290098750186198,—
sigmoid_cv5 (sklearn),0.9029126213592232,0.1402675637342397,—
