featurizer_family,mean_acc,std_acc,n_configs,n_trials
CountVec,0.8733980582524272,0.03987173596713971,2,50
FastText,0.7931862312444836,0.050165828609333336,11,275
Word2Vec,0.7795728155339806,0.037046979605634245,10,250
Doc2Vec,0.7172815533980582,0.09827664709692424,2,50
