classifier_family,wall_mean,wall_total,n_trials,n_configs
OvR(BalancedRF),9.366942479269845,1639.214933872223,175,7
DL: LSTM+attention,9.936648601531983,1242.0810751914978,125,5
DL: attention,17.661890913009643,2207.7363641262054,125,5
DL: transformer,20.7506307888031,2593.8288486003876,125,5
OvR(ExtraTrees),31.979756302833557,1598.9878151416779,50,2
DL: LSTM,34.24118404006958,4280.1480050086975,125,5
