classifier_family,mean_acc,std_acc,n_configs,n_trials
OvR(ExtraTrees),0.9037864077669903,0.019753628816107805,2,50
OvR(BalancedRF),0.7933980582524273,0.07476930962357747,7,175
DL: LSTM+attention,0.7832038834951456,0.025418815307039586,4,100
DL: LSTM,0.7710194174757281,0.032597374808794356,4,100
DL: transformer,0.7659708737864078,0.03858465357813475,4,100
DL: attention,0.765,0.03270701400106891,4,100
