locus_id,sequence,known_substrate
beta-mannan_041,"HTH_AraC|HTH_AraC,1.B.14.6.1,null,GH26,GH26,GH36,GH130_1,2.A.2.3.6,null,null,null",beta-mannan
host_glycan_042,"GH20,GH2,CE3|CE20,CE3,GH20,CBM93|GH33,8.A.46.1.4,1.B.14.6.1,null",host glycan
alpha-mannan_043,"GH38,GH125,GntR,GH84,GH1,3.A.1.1.9,3.A.1.1.29",alpha-mannan
xylan_044,"GH3,3.A.1.1.2,3.A.1.1.21,3.A.1.1.21,LacI",xylan
beta-glucan_045,"GntR,4.A.3.2.9,4.A.3.2.7,4.A.3.2.9,1.B.3.1.3,GH1",beta-glucan
alpha-mannan_046,"null,GH76,null,null,null,1.B.14.6.1,null,HTH_AraC,GH92,null,GH76,GH125,GH130_3,null,null,null,GT32,GT32",alpha-mannan
xylan_047,"GH115,GH95,HTH_AraC,GH43_29|CBM6,CE6|CE1,GH5_21,null,GH10,null,null,null,null,1.B.14.6.1,GH43_12|CBM91,GH43_29|CBM6,GH97,GH31_4,GH43_12|CBM91,GH3,GH43_10|CBM91",xylan
alpha-mannan_048,"GH92,GH38|CBM32,GT32,GT32,null,null,null,GH130,GH125,GH76,null,GH92,null,HTH_AraC,null,1.B.14,null,null,null,GH76",alpha-mannan
galactan_049,"null,null,null,null,null,GH110,GH110,null,null,1.B.14.6.1",galactan
pectin_050,"null,1.B.14,null,null,2.A.66,GH28,null",pectin
chitin_051,"GH4,4.A.3.2.7,4.A.3.2.7,4.A.3.2.7,null,null",chitin
fructan_052,"GH32,GH32,null,null,1.B.14.6.1,null,GH32",fructan
xylan_053,"CE1,null,GH43_7|GH43_7,1.B.14,null,CE6|CE1,CE1,null,GH43_17,GH3,GH43_2|CBM6,HTH_AraC|HTH_AraC",xylan
pectin_054,"GH105,CE8,CE12|CE8,HTH_AraC,null,null,1.B.14,PL1_2,PL1_2,9.B.116,LytTR,PL1_2,null,1.B.14,null,GH28,HTH_AraC|HTH_AraC",pectin
galactan_055,"LacI,1.B.3,GH42,GH53,3.A.1,3.A.1,3.A.1,3.A.1,null",galactan
alginate_056,"GerE,1.B.14,null,null,GH144,GH144,CE1,GH3,null,BLUF,null,null,null,null,null,null,null,PL6|PL6_1,PL12,PL6|PL6_1,PL17_2|PL17,AraC_binding,null,null,1.B.14,8.A.46,GntR,2.A.1,null,LacI,PfkB,null,null,TPR_2,Response_reg,null,null,null",alginate
alginate_057,"PfkB,AraC_binding,null,PL15_1,3.A.1,3.A.1,3.A.1,null",alginate
pectin_058,"null,Sigma70_r2|Sigma70_r4_2,PL29,PL1_2,HTH_AraC,GH2,GH139,CE20,GH106,null,3.A.3.4.1,HisKA|HATPase_c,Trans_reg_C,GH2,GH2,HisKA|HATPase_c,HTH_AraC,GH137|GH2|CBM57|CBM97,GH138,2.A.21.9.2,null,GH78,GH141,GH127,null,Nitroreductase,null,null,null,GH95,GH105,GH140,CBM67|GH78|GH33,null,null,CE19,GH28,CBM67|GH78,GH143|GH142,GH43_18,null,PL1_2,null,1.B.14.6.1,null,null,1.B.14.6.2,null",pectin
host_glycan_059,"GH18,GH18,null,null,8.A.46.2.2,1.B.14.6.13",host glycan
chitin_060,"GH18|CBM5,AA10|CBM5,GH18",chitin
arabinogalactan_061,"GH51,GH146,null,null,null,null,NUDIX,2.A.21,null,null,null,null,GH43_4,null,1.B.14,null,1.B.14,null,HTH_AraC|HTH_AraC,GH43_4,GH51,GH43_29",arabinogalactan
beta-mannan_062,"GH26,null,null,GntR,GH1,4.A.3.2.8,4.A.3.2.8,4.A.3.2.6",beta-mannan
fructan_063,"PfkB,2.A.1.7.17,GH32",fructan
beta-mannan_064,"GH65,null,GH13,null,8.A.46,1.B.14,LacI,CBM32|CBM32",beta-mannan
alginate_065,"null,null,null,PL6|PL6_1,PL17_2|PL17,AraC_binding,2.A.1.14.25,PfkB,null,GntR,CBM32|PL7_5,1.B.14.12.1,PL6_3,PL7_5",alginate
galactan_066,"GH2,2.A.21,null,null,3.D.1,null,GH96,GH96,null,null,2.A.1,GH50,GH50,null,GH50,GH29,null,SBP_bac_1,TrmB,null,null,null,null,null,null,null,null,null,null,null,1.B.14,null,GntR,GH50,1.B.14,null,null,null,GH86,null,3.A.1,3.A.1,3.A.1,3.A.1,null,PfkB,GH117|GH117,null,null,null,null,null,null,Pyr_redox_2",galactan
beta-glucan_067,"null,GH26|GH5_4,GH5_7,null,null,null,null,1.B.14,HTH_AraC|HTH_AraC,null,2.A.2,GH130,GH26,CE7,null,GH36,GH3,null",beta-glucan
galactan_068,"null,2.A.2.2.1,GH36,null,GH2",galactan
xylan_069,"HTH_AraC|HTH_AraC,1.B.14.6.1,null,null,GH10",xylan
alginate_070,"null,null,1.B.14.6.1,null,null,PL7,PL7,GntR,null",alginate
alpha-glucan_071,"GT5,null,null,CBM48|GH13_9",alpha-glucan
beta-glucan_072,"1.B.14,8.A.46,null,null,GH43_12,null,GH5_4,HTH_AraC|HTH_AraC,GH31,GH2,GH3,null,GH95",beta-glucan
xylan_073,"HTH_AraC|HTH_AraC,GH3,GH95,GH10|CE1",xylan
chitin_074,"GH4,4.A.3.2.1,4.A.3.2.7,4.A.3.2.7,null,null",chitin
