method,accuracy,accuracy_sd,ece_10bin,ece_sd,T
uncalibrated,0.9176699029126214,0.006980845829999169,0.06288165153519616,0.004391211377223428,—
temperature_scaling,0.9176699029126214,0.006980845829999169,0.01579917144428174,0.0022679822981339403,0.6677
isotonic_cv5 (sklearn),0.9126213592233009,0.006761353532613634,0.04593924901728484,0.0063905620682217805,—
sigmoid_cv5 (sklearn),0.9126213592233009,0.006216625473235776,0.1542869939213817,0.007042436045802188,—
